s2_id,arxiv_id,internal_paper_id,title,year,venue,domain,subfield,trace_id,role,sources
,,paper_9f6204587f,DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome,2021,,biology,Computational Biology / Genomics Foundation Models,biology_GenomicsFoundation,,gene_card
,,paper_bdadfbbb83,The Nucleotide Transformer: Building and Evaluating Robust Foundation Models for Human Genomics,2023,,biology,Computational Biology / Genomics Foundation Models,biology_GenomicsFoundation,,gene_card
bfd2b76998a0521c12903ef5ced517adf70ad2ba,,paper_404c2c227f,HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution,2023,,biology,Computational Biology / Genomics Foundation Models,biology_GenomicsFoundation,lineage,gene_card;trace_graph
6c1578d9eff8f9d25ddf0398a77ffcc888a4593b,,paper_56207fc124,Caduceus: Bi-Directional Equivariant Long-Range DNA Sequence Modeling,2024,,biology,Computational Biology / Genomics Foundation Models,biology_GenomicsFoundation,lineage,gene_card;trace_graph
f2bc968f5a7036f5c6c29ebd7cfaad9e1a677f4e,,paper_aa28f8ef56,Sequence modeling and design from molecular to genome scale with Evo,2024,,biology,Computational Biology / Genomics Foundation Models,biology_GenomicsFoundation,foundation,gene_card;trace_graph
,,paper_a0c52160a5,Genome modelling and design across all domains of life with Evo 2,2026,,biology,Computational Biology / Genomics Foundation Models,biology_GenomicsFoundation,,gene_card
dc32a984b651256a8ec282be52310e6bd33d9815,N/A (Nature doi:10.1038/s41586-021-03819-2),paper_28afd33907,Highly accurate protein structure prediction with AlphaFold,2021,Nature 2021,biology,Computational Biology / Protein Structure & Design,biology_ProteinDesign,ecology,arena_task;gene_card;trace_graph
98926d43356e87c22c82efc132dcaaac1ff40ebe,N/A (Science doi:10.1126/science.add2187),paper_bf4a2d2cfe,Robust deep learning-based protein sequence design using ProteinMPNN,2022,Science 2022,biology,Computational Biology / Protein Structure & Design,biology_ProteinDesign,lineage,arena_task;gene_card;trace_graph
eb8c0df75993c1c19c51cde9345e45fc260f661c,N/A (Nature doi:10.1038/s41586-023-06415-8),paper_704b00f3dc,De novo design of protein structure and function with RFDiffusion,2023,Nature 2023,biology,Computational Biology / Protein Structure & Design,biology_ProteinDesign,branch,arena_task;gene_card;trace_graph
,N/A (Science doi:10.1126/science.ade2574),paper_f23aa622d7,Evolutionary-scale prediction of atomic-level protein structure with a language model,2023,Science 2023,biology,Computational Biology / Protein Structure & Design,biology_ProteinDesign,,arena_task;gene_card
7572ba7f604ef95d7acdd657ebac458106bd35df,N/A (Nature doi:10.1038/s41586-024-07487-w),paper_162ec0c540,Accurate structure prediction of biomolecular interactions with AlphaFold 3,2024,Nature 2024,biology,Computational Biology / Protein Structure & Design,biology_ProteinDesign,ecology,arena_task;gene_card;trace_graph
,2603.27950,paper_0a3289a67c,Scaling Atomistic Protein Binder Design with Generative Pretraining and Test-Time Compute,2026,ICLR 2026,biology,Computational Biology / Protein Structure & Design,biology_ProteinDesign,,arena_task;gene_card
e24cdf73b3e7e590c2fe5ecac9ae8aa983801367,1704.01212,paper_6b646dcd39,Neural Message Passing for Quantum Chemistry,2017,ICML 2017,chemistry,Computational Chemistry / Structure-Based Drug Design,chemistry_DrugDiscovery,ecology,arena_task;gene_card;trace_graph
,1703.10603,paper_13689b3434,Atomic Convolutional Networks for Predicting Protein-Ligand Binding Affinity,2017,arXiv 2017,chemistry,Computational Chemistry / Structure-Based Drug Design,chemistry_DrugDiscovery,,arena_task;gene_card
5309f4bcb15e3dafbed759488551c1650b55dd81,2202.05146,paper_d660a922d2,EquiBind: Geometric Deep Learning for Drug Binding Structure Prediction,2022,ICML 2022,chemistry,Computational Chemistry / Structure-Based Drug Design,chemistry_DrugDiscovery,ecology,arena_task;gene_card;trace_graph
,2210.01776,paper_124c4151f5,"DiffDock: Diffusion Steps, Twists, and Turns for Molecular Docking",2023,ICLR 2023,chemistry,Computational Chemistry / Structure-Based Drug Design,chemistry_DrugDiscovery,,arena_task;gene_card
,N/A (npj Drug Discovery doi:10.1038/s44386-026-00040-x),paper_2d31a2b649,Interaction-constrained 3D Molecular Generation Using a Diffusion Model Enables Structure-Based Pharmacophore Modeling,2026,npj Drug Discovery 2026,chemistry,Computational Chemistry / Structure-Based Drug Design,chemistry_DrugDiscovery,,arena_task;gene_card
,1610.02415,paper_cadd13258a,Automatic Chemical Design Using a Data-Driven Continuous Representation of Molecules,2018,ACS Central Science 2018,chemistry,Computational Chemistry / Generative Molecular Design,chemistry_MolecularGeneration,,arena_task;gene_card
fd17bd9a5dc24a081ad9743570f50dd6750f54b2,1802.04364,paper_e0f3d4a0db,Junction Tree Variational Autoencoder for Molecular Graph Generation,2018,ICML 2018,chemistry,Computational Chemistry / Generative Molecular Design,chemistry_MolecularGeneration,ecology,arena_task;gene_card;trace_graph
d9f836a2062864e4808e12224e2286a353498202,1806.02473,paper_89d141c5b5,Graph Convolutional Policy Network for Goal-Directed Molecular Graph Generation,2018,NeurIPS 2018,chemistry,Computational Chemistry / Generative Molecular Design,chemistry_MolecularGeneration,ecology,arena_task;gene_card;trace_graph
,2303.03543,paper_95de894024,TargetDiff: 3D Equivariant Diffusion for Target-Aware Molecule Generation and Affinity Prediction,2023,ICLR 2023,chemistry,Computational Chemistry / Generative Molecular Design,chemistry_MolecularGeneration,,arena_task;gene_card
,2309.17296,paper_71924e4fff,Navigating the Design Space of Equivariant Diffusion-Based Generative Models for De Novo 3D Molecule Generation,2024,ICLR 2024,chemistry,Computational Chemistry / Generative Molecular Design,chemistry_MolecularGeneration,,arena_task;gene_card
,2601.08963,paper_a1e6b717b6,Breaking the Bottlenecks: Scalable Diffusion Models for 3D Molecular Generation,2026,arXiv 2026,chemistry,Computational Chemistry / Generative Molecular Design,chemistry_MolecularGeneration,,arena_task;gene_card
,2210.03629,paper_24ca078f4d,ReAct: Synergizing Reasoning and Acting in Language Models,2023,ICLR 2023,cs,LLM Agents / Agentic AI,cs_AgentFramework,,arena_task;gene_card
0671fd553dd670a4e820553a974bc48040ba0819,2303.11366,paper_d275727833,Reflexion: Language Agents with Verbal Reinforcement Learning,2023,NeurIPS 2023,cs,LLM Agents / Agentic AI,cs_AgentFramework,,arena_task;gene_card
1c3c531fc0fbe79f97f367ed3648de8467caeeaa,2405.15793,paper_fec715c036,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,2024,arXiv 2024 / NeurIPS 2024,cs,LLM Agents / Agentic AI,cs_AgentFramework,lineage,arena_task;gene_card;trace_graph
,2308.08155,paper_fc07f00f91,AutoGen: Enabling Next-Generation LLM Applications via Multi-Agent Conversation,2024,ICLR 2024 LLM Agents Workshop (Best Paper),cs,LLM Agents / Agentic AI,cs_AgentFramework,,arena_task;gene_card
be27ef5a9068d9e2be1ab97b7c3de7168c472972,2407.16741,paper_5750ca85c1,OpenDevin: An Open Platform for AI Software Developers as Generalist Agents,2024,arXiv 2024,cs,LLM Agents / Agentic AI,cs_AgentFramework,,arena_task;gene_card
,2602.03419,paper_a8a8a67c02,SWE-World: Building Software Engineering Agents in Docker-Free Environments,2026,arXiv 2026,cs,LLM Agents / Agentic AI,cs_AgentFramework,,arena_task;gene_card
204e3073870fae3d05bcbc2f6a8e263d9b72e776,1706.03762,paper_c1b9114bcb,Attention Is All You Need,2017,NeurIPS 2017,cs,Systems / Efficient LLM,cs_AttentionEfficiency,ecology,arena_task;gene_card;trace_graph
87c5b281fa43e6f27191b20a8dd694eda1126336,2205.14135,paper_3a2d8dd07a,FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness,2022,NeurIPS 2022,cs,Systems / Efficient LLM,cs_AttentionEfficiency,ecology,arena_task;gene_card;trace_graph
,,paper_ca246600c5,FlashAttention-2: Faster Attention with Better Parallelism and Work Partitioning,2024,,cs,Systems / Efficient LLM,cs_AttentionEfficiency,,gene_card
5ae6fb6b5a3c7df515ff4a82ac9673bae6a8e200,2305.13245,paper_98bea8aa81,GQA: Training Generalized Multi-Query Transformer Models from Multi-Head Checkpoints,2023,EMNLP 2023,cs,Systems / Efficient LLM,cs_AttentionEfficiency,,arena_task;gene_card
53a803388e83ae89261624099d7be4287ace67cb,2405.04434,paper_5a5b680ed8,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",2024,arXiv 2024,cs,Systems / Efficient LLM,cs_AttentionEfficiency,,arena_task;gene_card
,2604.07815,paper_9992f18679,AsyncTLS: Efficient Generative LLM Inference with Asynchronous Two-level Sparse Attention,2026,arXiv 2026,cs,Systems / Efficient LLM,cs_AttentionEfficiency,,arena_task;gene_card
,2003.03384,paper_6813318024,AutoML-Zero: Evolving Machine Learning Algorithms From Scratch,2020,ICML 2020,cs,AI for Science / Automated Discovery,cs_AutoResearch,,arena_task;gene_card
,N/A (Nature 2023.12),paper_60e043e235,FunSearch: Mathematical discoveries from program search with large language models,2024,Nature 2024,cs,AI for Science / Automated Discovery,cs_AutoResearch,,arena_task;gene_card
33161a5a9b5dcb635b5a97475e6a6209a69ada7d,2408.06292,paper_4ce8058432,The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery,2024,arXiv 2024 (Sakana AI),cs,AI for Science / Automated Discovery,cs_AutoResearch,lineage,arena_task;gene_card;trace_graph
,2409.04109,paper_52d80e0709,Can Large Language Models Generate Novel Research Ideas? A Large-Scale Human Study with 100+ NLP Researchers,2024,arXiv 2024,cs,AI for Science / Automated Discovery,cs_AutoResearch,,arena_task;gene_card
,2503.18102,paper_1d824e564c,AgentRxiv: Towards Collaborative Autonomous Research,2025,arXiv 2025,cs,AI for Science / Automated Discovery,cs_AutoResearch,,arena_task;gene_card
,2504.08066,paper_edf9459def,The AI Scientist-v2: Workshop-Level Automated Scientific Discovery via Agentic Tree Search,2025,arXiv 2025,cs,AI for Science / Automated Discovery,cs_AutoResearch,,arena_task;gene_card
5c126ae3421f05768d8edd97ecd44b1364e2c99a,2006.11239,paper_50fe3794de,Denoising Diffusion Probabilistic Models,2020,NeurIPS 2020,cs,Generative Models / Computer Vision,cs_DiffusionModels,,arena_task;gene_card
,2010.02502,paper_40bd98c670,Denoising Diffusion Implicit Models,2021,ICLR 2021,cs,Generative Models / Computer Vision,cs_DiffusionModels,,arena_task;gene_card
,2112.10752,paper_9418b713ba,High-Resolution Image Synthesis with Latent Diffusion Models,2022,CVPR 2022,cs,Generative Models / Computer Vision,cs_DiffusionModels,,arena_task;gene_card
,2212.09748,paper_4d99175648,Scalable Diffusion Models with Transformers,2023,ICCV 2023,cs,Generative Models / Computer Vision,cs_DiffusionModels,,arena_task;gene_card
,N/A,paper_610281f25f,Sora: Video generation models as world simulators,2024,OpenAI Technical Report 2024,cs,Generative Models / Computer Vision,cs_DiffusionModels,,arena_task;gene_card
,2603.00466,paper_630841120c,DreamWorld: Unified World Modeling in Video Generation,2026,arXiv 2026,cs,Generative Models / Computer Vision,cs_DiffusionModels,,arena_task;gene_card
1b6e810ce0afd0dd093f789d2b2742d047e316d5,2201.11903,paper_f713a90bad,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,2022,NeurIPS 2022,cs,Natural Language Processing / Reasoning,cs_LLMReasoning,,arena_task;gene_card
,2203.11171,paper_fe62e4cfb3,Self-Consistency Improves Chain of Thought Reasoning in Language Models,2023,ICLR 2023,cs,Natural Language Processing / Reasoning,cs_LLMReasoning,,arena_task;gene_card
2f3822eb380b5e753a6d579f31dfc3ec4c4a0820,2305.10601,paper_0f42931ea5,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023,NeurIPS 2023,cs,Natural Language Processing / Reasoning,cs_LLMReasoning,,arena_task;gene_card
,2305.20050,paper_762b32baae,Let's Verify Step by Step,2024,ICLR 2024,cs,Natural Language Processing / Reasoning,cs_LLMReasoning,,arena_task;gene_card
bf76cb3bd7a54c60138f9523ffb462a486c4807b,2501.12948,paper_eb677e9308,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,2025,arXiv 2025,cs,Natural Language Processing / Reasoning,cs_LLMReasoning,,arena_task;gene_card
,2601.06002,paper_be139ab5ed,The Molecular Structure of Thought: Mapping the Topology of Long Chain-of-Thought Reasoning,2026,arXiv 2026,cs,Natural Language Processing / Reasoning,cs_LLMReasoning,,arena_task;gene_card
510e26733aaff585d65701b9f1be7ca9d5afc586,1701.06538,paper_b9196ffdd6,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,2017,ICLR 2017,cs,Efficient LLM Architecture / Scaling,cs_MixtureOfExperts,ecology,arena_task;gene_card;trace_graph
,2101.03961,paper_6048641d75,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,2022,JMLR 2022,cs,Efficient LLM Architecture / Scaling,cs_MixtureOfExperts,,arena_task;gene_card
411114f989a3d1083d90afd265103132fee94ebe,2401.04088,paper_7a55e149bc,Mixtral of Experts,2024,arXiv 2024,cs,Efficient LLM Architecture / Scaling,cs_MixtureOfExperts,,arena_task;gene_card
,2412.19437,paper_3c57d1a7ce,DeepSeek-V3 Technical Report,2025,arXiv 2025,cs,Efficient LLM Architecture / Scaling,cs_MixtureOfExperts,,arena_task;gene_card
18bac6a6d0a1c1e19f8ffc1deb971065e80e6704,2602.02276,paper_c91cbd30ce,Kimi K2.5: Visual Agentic Intelligence,2026,arXiv 2026,cs,Efficient LLM Architecture / Scaling,cs_MixtureOfExperts,ecology,arena_task;gene_card;trace_graph
6f870f7f02a8c59c3e23f407f3ef00dd1dcf8fc4,2103.00020,paper_c10453837b,Learning Transferable Visual Models From Natural Language Supervision,2021,ICML 2021,cs,Computer Vision / Multimodal Learning,cs_NativeMultimodal,ecology,arena_task;gene_card;trace_graph
26218bdcc3945c7edae7aa2adbfba4cd820a2df3,2204.14198,paper_57cd3ec415,Flamingo: a Visual Language Model for Few-Shot Learning,2022,NeurIPS 2022,cs,Computer Vision / Multimodal Learning,cs_NativeMultimodal,ecology,arena_task;gene_card;trace_graph
a5036f31f0e629dc661f120b8c3b1f374d479ab8,2304.08485,paper_7bff3f543c,Visual Instruction Tuning,2023,NeurIPS 2023,cs,Computer Vision / Multimodal Learning,cs_NativeMultimodal,,arena_task;gene_card
,N/A (blog 2024.01),paper_d4b08ec94a,"LLaVA-NeXT: Improved Reasoning, OCR, and World Knowledge",2024,arXiv 2024,cs,Computer Vision / Multimodal Learning,cs_NativeMultimodal,,arena_task;gene_card
,2412.05271,paper_40efdd13ee,"InternVL2.5: Expanding Performance Boundaries of Open-Source Multimodal Models with Model, Data, and Test-Time Scaling",2024,arXiv 2024,cs,Computer Vision / Multimodal Learning,cs_NativeMultimodal,,arena_task;gene_card
