denylist_tier,openalex_id,s2_id,arxiv_id,doi,title,year,venue,domain,sources
seed,https://openalex.org/W3127238141,,,,DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome,2021,,biology,gene_card
seed,https://openalex.org/W4316339774,,,,The Nucleotide Transformer: Building and Evaluating Robust Foundation Models for Human Genomics,2023,,biology,gene_card
seed,https://openalex.org/W4382603228,bfd2b76998a0521c12903ef5ced517adf70ad2ba,,,HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution,2023,,biology,gene_card;trace_graph
seed,https://openalex.org/W4392575276,6c1578d9eff8f9d25ddf0398a77ffcc888a4593b,,,Caduceus: Bi-Directional Equivariant Long-Range DNA Sequence Modeling,2024,,biology,gene_card;trace_graph
seed,https://openalex.org/W4404349982,f2bc968f5a7036f5c6c29ebd7cfaad9e1a677f4e,,,Sequence modeling and design from molecular to genome scale with Evo,2024,,biology,gene_card;trace_graph
seed,https://openalex.org/W7133517058,,,,Genome modelling and design across all domains of life with Evo 2,2026,,biology,gene_card
seed,https://openalex.org/W3177828909,dc32a984b651256a8ec282be52310e6bd33d9815,N/A (Nature doi:10.1038/s41586-021-03819-2),,Highly accurate protein structure prediction with AlphaFold,2021,Nature 2021,biology,arena_task;gene_card;trace_graph
seed,https://openalex.org/W4296032638,98926d43356e87c22c82efc132dcaaac1ff40ebe,N/A (Science doi:10.1126/science.add2187),,Robust deep learning-based protein sequence design using ProteinMPNN,2022,Science 2022,biology,arena_task;gene_card;trace_graph
seed,https://openalex.org/W4383957026,eb8c0df75993c1c19c51cde9345e45fc260f661c,N/A (Nature doi:10.1038/s41586-023-06415-8),,De novo design of protein structure and function with RFDiffusion,2023,Nature 2023,biology,arena_task;gene_card;trace_graph
seed,https://openalex.org/W4327550249,,N/A (Science doi:10.1126/science.ade2574),,Evolutionary-scale prediction of atomic-level protein structure with a language model,2023,Science 2023,biology,arena_task;gene_card
seed,https://openalex.org/W4396721167,7572ba7f604ef95d7acdd657ebac458106bd35df,N/A (Nature doi:10.1038/s41586-024-07487-w),,Accurate structure prediction of biomolecular interactions with AlphaFold 3,2024,Nature 2024,biology,arena_task;gene_card;trace_graph
seed,https://openalex.org/W7147673913,,2603.27950,,Scaling Atomistic Protein Binder Design with Generative Pretraining and Test-Time Compute,2026,ICLR 2026,biology,arena_task;gene_card
seed,https://openalex.org/W2606780347,e24cdf73b3e7e590c2fe5ecac9ae8aa983801367,1704.01212,,Neural Message Passing for Quantum Chemistry,2017,ICML 2017,chemistry,arena_task;gene_card;trace_graph
seed,https://openalex.org/W2604306554,,1703.10603,,Atomic Convolutional Networks for Predicting Protein-Ligand Binding Affinity,2017,arXiv 2017,chemistry,arena_task;gene_card
seed,https://openalex.org/W4221147818,5309f4bcb15e3dafbed759488551c1650b55dd81,2202.05146,,EquiBind: Geometric Deep Learning for Drug Binding Structure Prediction,2022,ICML 2022,chemistry,arena_task;gene_card;trace_graph
seed,https://openalex.org/W4302307901,,2210.01776,,"DiffDock: Diffusion Steps, Twists, and Turns for Molecular Docking",2023,ICLR 2023,chemistry,arena_task;gene_card
seed,,,N/A (npj Drug Discovery doi:10.1038/s44386-026-00040-x),,Interaction-constrained 3D Molecular Generation Using a Diffusion Model Enables Structure-Based Pharmacophore Modeling,2026,npj Drug Discovery 2026,chemistry,arena_task;gene_card
seed,https://openalex.org/W2529996553,,1610.02415,,Automatic Chemical Design Using a Data-Driven Continuous Representation of Molecules,2018,ACS Central Science 2018,chemistry,arena_task;gene_card
seed,https://openalex.org/W2786722833,fd17bd9a5dc24a081ad9743570f50dd6750f54b2,1802.04364,,Junction Tree Variational Autoencoder for Molecular Graph Generation,2018,ICML 2018,chemistry,arena_task;gene_card;trace_graph
seed,https://openalex.org/W2805177834,d9f836a2062864e4808e12224e2286a353498202,1806.02473,,Graph Convolutional Policy Network for Goal-Directed Molecular Graph Generation,2018,NeurIPS 2018,chemistry,arena_task;gene_card;trace_graph
seed,,,2303.03543,,TargetDiff: 3D Equivariant Diffusion for Target-Aware Molecule Generation and Affinity Prediction,2023,ICLR 2023,chemistry,arena_task;gene_card
seed,https://openalex.org/W4387294353,,2309.17296,,Navigating the Design Space of Equivariant Diffusion-Based Generative Models for De Novo 3D Molecule Generation,2024,ICLR 2024,chemistry,arena_task;gene_card
seed,https://openalex.org/W7124266214,,2601.08963,,Breaking the Bottlenecks: Scalable Diffusion Models for 3D Molecular Generation,2026,arXiv 2026,chemistry,arena_task;gene_card
seed,,,2210.03629,,ReAct: Synergizing Reasoning and Acting in Language Models,2023,ICLR 2023,cs,arena_task;gene_card
seed,https://openalex.org/W4353112996,0671fd553dd670a4e820553a974bc48040ba0819,2303.11366,,Reflexion: Language Agents with Verbal Reinforcement Learning,2023,NeurIPS 2023,cs,arena_task;gene_card
seed,https://openalex.org/W4399114781,1c3c531fc0fbe79f97f367ed3648de8467caeeaa,2405.15793,,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,2024,arXiv 2024 / NeurIPS 2024,cs,arena_task;gene_card;trace_graph
seed,,,2308.08155,,AutoGen: Enabling Next-Generation LLM Applications via Multi-Agent Conversation,2024,ICLR 2024 LLM Agents Workshop (Best Paper),cs,arena_task;gene_card
seed,,be27ef5a9068d9e2be1ab97b7c3de7168c472972,2407.16741,,OpenDevin: An Open Platform for AI Software Developers as Generalist Agents,2024,arXiv 2024,cs,arena_task;gene_card
seed,https://openalex.org/W7127739427,,2602.03419,,SWE-World: Building Software Engineering Agents in Docker-Free Environments,2026,arXiv 2026,cs,arena_task;gene_card
seed,https://openalex.org/W2626778328,204e3073870fae3d05bcbc2f6a8e263d9b72e776,1706.03762,,Attention Is All You Need,2017,NeurIPS 2017,cs,arena_task;gene_card;trace_graph
seed,https://openalex.org/W4281758439,87c5b281fa43e6f27191b20a8dd694eda1126336,2205.14135,,FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness,2022,NeurIPS 2022,cs,arena_task;gene_card;trace_graph
seed,https://openalex.org/W4384648639,,,,FlashAttention-2: Faster Attention with Better Parallelism and Work Partitioning,2024,,cs,gene_card
seed,https://openalex.org/W4389518760,5ae6fb6b5a3c7df515ff4a82ac9673bae6a8e200,2305.13245,,GQA: Training Generalized Multi-Query Transformer Models from Multi-Head Checkpoints,2023,EMNLP 2023,cs,arena_task;gene_card
seed,https://openalex.org/W4396815229,53a803388e83ae89261624099d7be4287ace67cb,2405.04434,,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",2024,arXiv 2024,cs,arena_task;gene_card
seed,https://openalex.org/W7153670726,,2604.07815,,AsyncTLS: Efficient Generative LLM Inference with Asynchronous Two-level Sparse Attention,2026,arXiv 2026,cs,arena_task;gene_card
seed,https://openalex.org/W3010604601,,2003.03384,,AutoML-Zero: Evolving Machine Learning Algorithms From Scratch,2020,ICML 2020,cs,arena_task;gene_card
seed,,,N/A (Nature 2023.12),,FunSearch: Mathematical discoveries from program search with large language models,2024,Nature 2024,cs,arena_task;gene_card
seed,https://openalex.org/W4402952666,33161a5a9b5dcb635b5a97475e6a6209a69ada7d,2408.06292,,The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery,2024,arXiv 2024 (Sakana AI),cs,arena_task;gene_card;trace_graph
seed,,,2409.04109,,Can Large Language Models Generate Novel Research Ideas? A Large-Scale Human Study with 100+ NLP Researchers,2024,arXiv 2024,cs,arena_task;gene_card
seed,https://openalex.org/W7126046125,,2503.18102,,AgentRxiv: Towards Collaborative Autonomous Research,2025,arXiv 2025,cs,arena_task;gene_card
seed,https://openalex.org/W4414827381,,2504.08066,,The AI Scientist-v2: Workshop-Level Automated Scientific Discovery via Agentic Tree Search,2025,arXiv 2025,cs,arena_task;gene_card
seed,https://openalex.org/W3036167779,5c126ae3421f05768d8edd97ecd44b1364e2c99a,2006.11239,,Denoising Diffusion Probabilistic Models,2020,NeurIPS 2020,cs,arena_task;gene_card
seed,https://openalex.org/W3092442149,,2010.02502,,Denoising Diffusion Implicit Models,2021,ICLR 2021,cs,arena_task;gene_card
seed,https://openalex.org/W4312933868,,2112.10752,,High-Resolution Image Synthesis with Latent Diffusion Models,2022,CVPR 2022,cs,arena_task;gene_card
seed,https://openalex.org/W4390872297,,2212.09748,,Scalable Diffusion Models with Transformers,2023,ICCV 2023,cs,arena_task;gene_card
seed,,,N/A,,Sora: Video generation models as world simulators,2024,OpenAI Technical Report 2024,cs,arena_task;gene_card
